state,county,year,total_population
AL,autauga,2000,43872
AL,baldwin,2000,141358
AL,barbour,2000,29035
AL,bibb,2000,19936
AL,blount,2000,51181
AL,bullock,2000,11604
AL,butler,2000,21313
AL,calhoun,2000,111342
AL,chambers,2000,36593
AL,cherokee,2000,24053
AL,chilton,2000,39781
AL,choctaw,2000,15850
AL,clarke,2000,27833
AL,clay,2000,14264
AL,cleburne,2000,14156
AL,coffee,2000,43540
AL,colbert,2000,55024
AL,conecuh,2000,14040
AL,coosa,2000,11843
AL,covington,2000,37490
AL,crenshaw,2000,13696
AL,cullman,2000,77580
AL,dale,2000,49068
AL,dallas,2000,46181
AL,dekalb,2000,64638
AL,elmore,2000,66230
AL,escambia,2000,38402
AL,etowah,2000,103313
AL,fayette,2000,18456
AL,franklin,2000,31208
AL,geneva,2000,25790
AL,greene,2000,9946
AL,hale,2000,18288
AL,henry,2000,16344
AL,houston,2000,88919
AL,jackson,2000,54029
AL,jefferson,2000,662214
AL,lamar,2000,15905
AL,lauderdale,2000,87982
AL,lawrence,2000,34856
AL,lee,2000,115511
AL,limestone,2000,65930
AL,lowndes,2000,13487
AL,macon,2000,24075
AL,madison,2000,277868
AL,marengo,2000,22566
AL,marion,2000,31149
AL,marshall,2000,82333
AL,mobile,2000,400061
AL,monroe,2000,24281
AL,montgomery,2000,223413
AL,morgan,2000,111194
AL,perry,2000,11808
AL,pickens,2000,20904
AL,pike,2000,29734
AL,randolph,2000,22414
AL,russell,2000,49692
AL,shelby,2000,65079
AL,st. clair,2000,144523
AL,sumter,2000,14748
AL,talladega,2000,80338
AL,tallapoosa,2000,41743
AL,tuscaloosa,2000,165191
AL,walker,2000,70680
AL,washington,2000,18112
AL,wilcox,2000,12980
AL,winston,2000,24882
AZ,apache,2000,69516
AZ,cochise ,2000,118028
AZ,coconino,2000,116717
AZ,gila,2000,51355
AZ,graham,2000,33541
AZ,greenlee,2000,8542
AZ,la paz,2000,19643
AZ,maricopa,2000,3097378
AZ,mohave,2000,156194
AZ,navajo,2000,97876
AZ,pima,2000,848521
AZ,pinal,2000,181283
AZ,santa cruz,2000,38542
AZ,yavapai,2000,168886
AZ,yuma,2000,160675
AR,arkansas,2000,20672
AR,ashley,2000,24160
AR,baxter,2000,38465
AR,benton,2000,154791
AR,boone,2000,34051
AR,bradley,2000,12603
AR,calhoun,2000,5717
AR,carroll,2000,25411
AR,chicot,2000,14083
AR,clark,2000,23508
AR,clay,2000,17542
AR,cleburne,2000,24113
AR,cleveland,2000,8544
AR,columbia,2000,25564
AR,conway,2000,20321
AR,craighead,2000,82518
AR,crawford,2000,53376
AR,crittenden,2000,50976
AR,cross,2000,19476
AR,dallas,2000,9158
AR,desha,2000,15306
AR,drew,2000,18703
AR,faulkner,2000,86456
AR,franklin,2000,17747
AR,fulton,2000,11655
AR,garland,2000,88350
AR,grant,2000,16488
AR,greene,2000,37504
AR,hempstead,2000,23560
AR,hot spring,2000,30383
AR,howard,2000,14252
AR,independence,2000,34270
AR,izard,2000,13276
AR,jackson,2000,18351
AR,jefferson,2000,84218
AR,johnson,2000,22799
AR,lafayette,2000,8527
AR,lawrence,2000,17679
AR,lee,2000,12528
AR,lincoln,2000,14474
AR,little river,2000,13610
AR,logan,2000,22504
AR,lonoke,2000,53124
AR,madison,2000,14296
AR,marion,2000,16156
AR,miller,2000,40434
AR,mississippi,2000,51827
AR,monroe,2000,10179
AR,montgomery,2000,9270
AR,nevada,2000,9920
AR,newton,2000,8647
AR,ouachita,2000,28685
AR,perry,2000,10236
AR,phillips,2000,26268
AR,pike,2000,11321
AR,poinsett,2000,25617
AR,polk,2000,20262
AR,pope,2000,54500
AR,prairie,2000,9504
AR,pulaski,2000,361905
AR,randolph,2000,18163
AR,st. francis,2000,29284
AR,saline,2000,83940
AR,scott,2000,10991
AR,searcy,2000,8273
AR,sebastian,2000,115518
AR,sevier,2000,15759
AR,sharp,2000,17151
AR,stone,2000,11522
AR,union,2000,45572
AR,van buren,2000,16211
AR,washington,2000,158806
AR,white,2000,67405
AR,woodruff,2000,8690
AR,yell,2000,21163
CA,alameda,2000,1450220
CA,alpine,2000,1205
CA,amador,2000,35173
CA,butte,2000,203926
CA,calaveras,2000,40696
CA,colusa,2000,18829
CA,contra costa,2000,953192
CA,del norte,2000,27471
CA,el dorado,2000,157134
CA,fresno,2000,801444
CA,glenn,2000,26451
CA,humboldt,2000,126403
CA,imperial,2000,142396
CA,inyo,2000,17918
CA,kern,2000,663484
CA,kings,2000,129774
CA,lake,2000,58551
