Year,Drug/Alcohol Induced Cause Code,Deaths,county,state
2003,D1,25.0,lancaster , PA
2003,D1,20.0,forsyth , NC
2003,D1,14.0,durham , NC
2003,D1,18.0,davidson , NC
2003,D1,13.0,mberland , NC
2003,D1,12.0,leveland , NC
2003,D1,17.0,atawba , NC
2003,D1,10.0,burke , NC
2003,D1,22.0,buncombe , NC
2003,D1,10.0,brunswick , NC
2003,D1,15.0,westchester , NY
2003,D1,22.0,suffolk , NY
2003,D1,26.0,richmond , NY
2003,D1,131.0,queens , NY
2003,D1,10.0,onondaga , NY
2003,D1,170.0,new york , NY
2003,D1,21.0,nassau , NY
2003,D1,205.0,kings , NY
2003,D1,29.0,gaston , NC
2003,D1,131.0,bronx , NY
2003,D1,19.0,guilford , NC
2003,D1,12.0,iredell , NC
2003,D1,11.0,licking , OH
2003,D1,11.0,jefferson , OH
2003,D1,60.0,hamilton , OH
2003,D1,15.0,greene , OH
2003,D1,60.0,franklin , OH
2003,D1,83.0,ahoga , OH
2003,D1,11.0,lermont , OH
2003,D1,11.0,lark , OH
2003,D1,22.0,butler , OH
2003,D1,15.0,wilkes , NC
2003,D1,31.0,wake , NC
2003,D1,10.0,rutherford , NC
2003,D1,10.0,rowan , NC
2003,D1,11.0,rockingham , NC
2003,D1,11.0,pitt , NC
2003,D1,20.0,new hanover , NC
2003,D1,38.0,mecklenburg , NC
2003,D1,13.0,henderson , NC
2003,D1,13.0,lorain , OH
2003,D1,17.0,valencia , NM
2003,D1,12.0,san juan , NM
2003,D1,44.0,bergen , NJ
2003,D1,34.0,atlantic , NJ
2003,D1,12.0,strafford , NH
2003,D1,19.0,rockingham , NH
2003,D1,14.0,merrimack , NH
2003,D1,23.0,hillsborough , NH
2003,D1,36.0,washoe , NV
2003,D1,206.0,lark , NV
2003,D1,11.0,missoula , MT
2003,D1,49.0,st. louis ci, MO
2003,D1,45.0,st. louis , MO
2003,D1,12.0,st. francois , MO
2003,D1,12.0,st. charles , MO
2003,D1,13.0,jefferson , MO
2003,D1,48.0,jackson , MO
2003,D1,40.0,greene , MO
2003,D1,20.0,lay , MO
2003,D1,26.0,burlington , NJ
2003,D1,24.0,santa fe , NM
2003,D1,49.0,amden , NJ
2003,D1,86.0,essex , NJ
2003,D1,11.0,sandoval , NM
2003,D1,12.0,rio arriba , NM
2003,D1,19.0,dona ana , NM
2003,D1,18.0,haves , NM
2003,D1,130.0,bernalillo , NM
2003,D1,10.0,warren , NJ
2003,D1,27.0,union , NJ
2003,D1,13.0,sussex , NJ
2003,D1,18.0,somerset , NJ
2003,D1,28.0,passaic , NJ
2003,D1,34.0,ocean , NJ
2003,D1,30.0,morris , NJ
2003,D1,42.0,monmouth , NJ
2003,D1,45.0,middlesex , NJ
2003,D1,15.0,mercer , NJ
2003,D1,47.0,hudson , NJ
2003,D1,25.0,gloucester , NJ
2003,D1,14.0,mberland , NJ
2003,D1,11.0,boone , MO
2003,D1,19.0,lucas , OH
2003,D1,52.0,montgomery , OH
2003,D1,12.0,wilson , TN
2003,D1,14.0,sumner , TN
2003,D1,37.0,shelby , TN
2003,D1,14.0,rutherford , TN
2003,D1,54.0,knox , TN
2003,D1,15.0,hamilton , TN
2003,D1,62.0,davidson , TN
2003,D1,14.0,blount , TN
2003,D1,10.0,anderson , TN
2003,D1,10.0,york , SC
2003,D1,21.0,spartanburg , SC
2003,D1,26.0,richland , SC
2003,D1,12.0,lexington , SC
2003,D1,36.0,horry , SC
2003,D1,32.0,greenville , SC
2003,D1,16.0,harleston , SC
2003,D1,12.0,anderson , SC
2003,D1,84.0,bexar , TX
2003,D1,10.0,aiken , SC
2003,D1,13.0,brazoria , TX
2003,D1,10.0,mal , TX
2003,D1,66.0,travis , TX
2003,D1,12.0,tom green , TX
2003,D1,15.0,taylor , TX
2003,D1,112.0,tarrant , TX
2003,D1,13.0,parker , TX
2003,D1,17.0,orange , TX
2003,D1,37.0,nueces , TX
2003,D1,45.0,montgomery , TX
2003,D1,14.0,lubbock , TX
2003,D1,16.0,jefferson , TX
2003,D1,244.0,harris , TX
2003,D1,27.0,galveston , TX
2003,D1,11.0,fort bend , TX
2003,D1,52.0,el paso , TX
2003,D1,15.0,ector , TX
2003,D1,18.0,denton , TX
2003,D1,124.0,dallas , TX
2003,D1,26.0,llin , TX
2003,D1,14.0,mahoning , OH
2003,D1,25.0,york , PA
2003,D1,22.0,washington , PA
2003,D1,11.0,bedford , PA
2003,D1,20.0,beaver , PA
2003,D1,176.0,allegheny , PA
2003,D1,17.0,washington , OR
2003,D1,70.0,multnomah , OR
2003,D1,10.0,marion , OR
2003,D1,18.0,lane , OR
2003,D1,17.0,jackson , OR
2003,D1,10.0,douglas , OR
2003,D1,18.0,lackamas , OR
2003,D1,88.0,tulsa , OK
2003,D1,61.0,oklahoma , OK
2003,D1,15.0,leveland , OK
2003,D1,14.0,warren , OH
2003,D1,20.0,trumbull , OH
2003,D1,48.0,summit , OH
2003,D1,10.0,stark , OH
2003,D1,27.0,berks , PA
2003,D1,32.0,westmoreland , PA
2003,D1,21.0,blair , PA
2003,D1,13.0,butler , PA
2003,D1,10.0,somerset , PA
2003,D1,10.0,schuylkill , PA
2003,D1,238.0,philadelphia , PA
2003,D1,13.0,northampton , PA
2003,D1,56.0,montgomery , PA
